the_geom,cartodb_id,hex,count
,1,88283082b9fffff,96
,2,8828308281fffff,534
,3,88283082d7fffff,36
,4,88283082c1fffff,297
,5,88283082a9fffff,147
,6,882830828bfffff,192
,7,8828308287fffff,376
,8,88283082e3fffff,88
,9,88283082adfffff,34
,10,8828308285fffff,150
,11,88283080c9fffff,16
,12,88283082b3fffff,16
,13,8828309511fffff,46
,14,8828308289fffff,452
,15,882830828dfffff,160
,16,8828308283fffff,184
,17,882830829dfffff,108
,18,88283082c3fffff,314
,19,88283082abfffff,430
,20,88283095a9fffff,86
,21,8828309515fffff,42
,22,88283082a3fffff,420
,23,88283095adfffff,44
,24,882830821dfffff,10
,25,8828308295fffff,176
,26,8828308291fffff,80
,27,88283082d5fffff,228
,28,88283082c7fffff,409
,29,88283082edfffff,58
,30,8828308749fffff,52
,31,882830874dfffff,80
,32,88283082d1fffff,16
,33,8828309527fffff,20
,34,88283082ebfffff,92
,35,88283082bdfffff,190
,36,88283082a1fffff,162
,37,88283082ddfffff,56
,38,882830821bfffff,6
,39,88283082b5fffff,96
,40,88283082d3fffff,136
,41,8828309535fffff,14
,42,88283095e9fffff,36
,43,88283095ebfffff,24
,44,88283082c5fffff,78
,45,88283095a1fffff,96
,46,8828308299fffff,98
,47,882830953dfffff,24
,48,88283082e1fffff,184
,49,8828309533fffff,4
,50,88283082cbfffff,80
,51,882830951bfffff,2
,52,88283082c9fffff,96
,53,88283082e9fffff,34
,54,8828309507fffff,28
,55,88283095c7fffff,14
,56,88283082b1fffff,88
,57,88283095b5fffff,44
,58,8828309525fffff,10
,59,882830876dfffff,68
,60,88283082bbfffff,44
,61,88283095c3fffff,14
,62,88283095bdfffff,4
,63,88283082b7fffff,48
,64,88283095c5fffff,8
,65,8828309581fffff,6
,66,8828308297fffff,20
,67,88283082cdfffff,16
,68,88283082e7fffff,230
,69,8828309557fffff,2
,70,8828309505fffff,2
,71,882830952bfffff,4
,72,8828308253fffff,60
,73,88283095b1fffff,24
,74,882830958bfffff,14
,75,88283095e5fffff,12
,76,8828309519fffff,2
,77,8828308219fffff,40
,78,882830950bfffff,8
,79,88283095a5fffff,28
,80,88283095edfffff,2
,81,8828309587fffff,18
,82,8828308211fffff,8
,83,88283082a7fffff,64
,84,88283095e3fffff,4
,85,882830958dfffff,2
,86,88283095abfffff,16
,87,88283082a5fffff,2
,88,8828309585fffff,16
,89,8828308293fffff,74
,90,8828309583fffff,2
,91,882830959dfffff,84
,92,88283095a7fffff,22
,93,882830829bfffff,16
,94,88283095cdfffff,2
,95,8828309509fffff,2
,96,8828308215fffff,4
,97,8828308769fffff,4
,98,8828309501fffff,14
,99,88283095ddfffff,24
,100,8828309523fffff,18
,101,88283095a3fffff,6
,102,8828309565fffff,24
,103,8828309567fffff,16
,104,88283095cbfffff,28
,105,8828309539fffff,12
,106,8828309503fffff,10
,107,8828309597fffff,28
,108,8828309537fffff,4
,109,88283095d7fffff,4
,110,8828309591fffff,4
,111,88283080cbfffff,2
,112,8828309513fffff,14
,113,8828308217fffff,4
,114,8828308257fffff,18
,115,88283095e7fffff,10
,116,88283095bbfffff,16
,117,882830950dfffff,2
,118,8828308213fffff,6
,119,88283095b9fffff,13
,120,8828309563fffff,2
,121,8828309589fffff,4
,122,882830820bfffff,4
,123,88283095c1fffff,4
,124,88283095e1fffff,8
